Year,Month,Equity_Net_Cr,Debt_Net_Cr,Total_Net_Cr,Source
2016,July,12611.0,6847.0,19458.0,NSDL
2016,August,9071.0,-2626.0,6445.0,NSDL
2016,September,10444.0,9789.0,20233.0,NSDL
2016,October,-4306.0,-6000.0,-10306.0,NSDL
2016,November,-18244.0,-21151.0,-39395.0,NSDL
2016,December,-8177.0,-18933.0,-27110.0,NSDL
2017,January,-1177.0,-2319.0,-3496.0,NSDL
2017,February,9902.0,5960.0,15862.0,NSDL
2017,March,30906.0,25355.0,56261.0,NSDL
2017,April,2394.0,20364.0,22758.0,NSDL
2017,May,7711.0,19155.0,26866.0,NSDL
2017,June,3617.0,25685.0,29302.0,NSDL
2017,July,5161.0,18867.0,24028.0,NSDL
2017,August,-12770.0,15447.0,2677.0,NSDL
2017,September,-11392.0,1349.0,-10043.0,NSDL
2017,October,3055.0,16064.0,19119.0,NSDL
2017,November,19728.0,531.0,20258.0,NSDL
2017,December,-5883.0,2350.0,-3544.0,NSDL
2018,January,13781.0,8523.0,22272.0,NSDL
2018,February,-11423.0,-254.0,-11674.0,NSDL
2018,March,11654.0,-9044.0,2662.0,NSDL
2018,April,-5552.0,-10036.0,-15561.0,NSDL
2018,May,-10060.0,-19654.0,-29776.0,NSDL
2018,June,-4831.0,-10970.0,-15795.0,NSDL
2018,July,2264.0,43.0,2264.0,NSDL
2018,August,1775.0,3414.0,5146.0,NSDL
2018,September,-10825.0,-10198.0,-21035.0,NSDL
2018,October,-28921.0,-9978.0,-38906.0,NSDL
2018,November,5981.0,5610.0,11595.0,NSDL
2018,December,3143.0,4749.0,7889.0,NSDL
2019,January,-4262.0,-1301.0,-5556.0,NSDL
2019,February,17220.0,-6037.0,12053.0,NSDL
2019,March,33981.0,12002.0,48751.0,NSDL
2019,April,21193.0,-5099.0,16728.0,NSDL
2019,May,7920.0,1187.0,11370.0,NSDL
2019,June,2596.0,8319.0,13111.0,NSDL
2019,July,-12419.0,9433.0,-3003.0,NSDL
2019,August,-17592.0,11672.0,-5871.0,NSDL
2019,September,7548.0,-990.0,6582.0,NSDL
2019,October,12368.0,3670.0,16069.0,NSDL
2019,November,25231.0,-2358.0,22999.0,NSDL
2019,December,7338.0,-4616.0,2762.0,NSDL
2020,January,12122.0,-1200.0,11002.0,NSDL
2020,February,1819.0,900.0,2599.0,NSDL
2020,March,-61973.0,-24000.0,-86373.0,NSDL
2020,April,-6884.0,15600.0,8916.0,NSDL
2020,May,-2948.0,-3600.0,-6698.0,NSDL
2020,June,24054.0,1800.0,26134.0,NSDL
2020,July,4825.0,-900.0,3725.0,NSDL
2020,August,47080.0,2400.0,49820.0,NSDL
2020,September,-3376.0,-1500.0,-4996.0,NSDL
2020,October,-22186.0,1200.0,-20786.0,NSDL
2020,November,60998.0,3600.0,64318.0,NSDL
